hand_category,hand,tries,win,draw
12,5,1000,24.099999999999998,0.0
12,6,1000,21.4,0.0
13,1,1000,17.7,0.0
13,2,1000,21.7,0.0
13,3,1000,21.4,0.0
13,4,1000,20.1,0.0
13,5,1000,20.599999999999998,0.0
14,1,1000,22.6,0.0
14,2,1000,22.2,0.0
14,3,1000,20.9,0.0
14,4,1000,22.0,0.0
14,5,1000,22.3,0.0
15,1,1000,24.099999999999998,0.0
15,2,1000,19.900000000000002,0.0
15,3,1000,23.200000000000003,0.0
15,4,1000,23.1,0.0
16,1,1000,22.7,0.0
16,2,1000,22.2,0.0
16,3,1000,22.400000000000002,0.0
16,4,1000,23.9,0.0
17,1,1000,22.6,11.899999999999999
17,2,1000,23.3,10.299999999999999
17,3,1000,23.1,11.799999999999999
18,1,1000,33.0,11.899999999999999
18,2,1000,34.4,9.6
18,3,1000,32.800000000000004,12.5
19,1,1000,45.300000000000004,11.1
19,2,1000,46.0,11.700000000000001
20,1,1000,56.99999999999999,33.7
20,2,1000,57.8,31.1
21,1,1000,89.3,10.7
12,1,1000,23.9,0.0
12,2,1000,22.900000000000002,0.0
12,3,1000,20.599999999999998,0.0
12,4,1000,22.3,0.0
12,5,1000,20.599999999999998,0.0
12,6,1000,20.599999999999998,0.0
13,1,1000,23.0,0.0
13,2,1000,20.9,0.0
13,3,1000,20.9,0.0
13,4,1000,23.799999999999997,0.0
13,5,1000,21.6,0.0
14,1,1000,20.9,0.0
14,2,1000,21.0,0.0
14,3,1000,22.3,0.0
14,4,1000,19.5,0.0
14,5,1000,21.7,0.0
15,1,1000,22.2,0.0
15,2,1000,22.400000000000002,0.0
15,3,1000,22.6,0.0
15,4,1000,20.200000000000003,0.0
16,1,1000,19.7,0.0
16,2,1000,22.5,0.0
16,3,1000,21.7,0.0
16,4,1000,23.1,0.0
17,1,1000,21.6,12.2
17,2,1000,21.0,10.2
17,3,1000,20.7,13.200000000000001
18,1,1000,31.2,12.5
18,2,1000,32.800000000000004,11.200000000000001
18,3,1000,36.6,11.1
19,1,1000,44.0,12.0
19,2,1000,46.2,11.0
20,1,1000,54.800000000000004,35.099999999999994
20,2,1000,57.8,29.9
21,1,1000,90.4,9.6
12,1,1000,22.5,0.0
12,2,1000,21.5,0.0
12,3,1000,20.5,0.0
12,4,1000,21.7,0.0
12,5,1000,20.9,0.0
12,6,1000,21.5,0.0
13,1,1000,24.2,0.0
13,2,1000,20.3,0.0
13,3,1000,19.900000000000002,0.0
13,4,1000,21.3,0.0
13,5,1000,20.9,0.0
14,1,1000,20.9,0.0
14,2,1000,21.7,0.0
14,3,1000,22.7,0.0
14,4,1000,20.8,0.0
14,5,1000,21.6,0.0
15,1,1000,23.200000000000003,0.0
15,2,1000,20.1,0.0
15,3,1000,22.0,0.0
15,4,1000,22.6,0.0
16,1,1000,23.200000000000003,0.0
16,2,1000,21.099999999999998,0.0
16,3,1000,22.5,0.0
16,4,1000,21.8,0.0
17,1,1000,22.1,9.4
17,2,1000,22.3,9.700000000000001
17,3,1000,22.400000000000002,10.2
18,1,1000,29.9,13.4
18,2,1000,35.3,10.2
18,3,1000,32.300000000000004,12.7
19,1,1000,43.4,11.5
19,2,1000,44.3,9.2
20,1,1000,56.599999999999994,33.4
20,2,1000,58.3,27.800000000000004
21,1,1000,89.1,10.9
12,1,1000,22.3,0.0
12,2,1000,21.9,0.0
12,3,1000,20.599999999999998,0.0
12,4,1000,20.7,0.0
12,5,1000,20.7,0.0
12,6,1000,21.7,0.0
13,1,1000,21.0,0.0
13,2,1000,20.0,0.0
13,3,1000,21.5,0.0
13,4,1000,20.5,0.0
13,5,1000,23.599999999999998,0.0
14,1,1000,21.099999999999998,0.0
14,2,1000,19.0,0.0
14,3,1000,20.4,0.0
14,4,1000,20.1,0.0
14,5,1000,22.7,0.0
15,1,1000,19.7,0.0
15,2,1000,19.5,0.0
15,3,1000,22.8,0.0
15,4,1000,19.8,0.0
16,1,1000,21.6,0.0
16,2,1000,21.5,0.0
16,3,1000,24.6,0.0
16,4,1000,23.3,0.0
17,1,1000,21.0,11.4
17,2,1000,23.1,10.100000000000001
17,3,1000,21.4,12.0
18,1,1000,30.099999999999998,11.4
18,2,1000,35.4,10.2
18,3,1000,34.0,12.5
19,1,1000,42.199999999999996,14.499999999999998
19,2,1000,47.099999999999994,9.8
20,1,1000,57.699999999999996,32.300000000000004
20,2,1000,58.599999999999994,29.9
21,1,1000,88.3,11.700000000000001
12,1,1000,22.6,0.0
12,2,1000,22.5,0.0
12,3,1000,20.200000000000003,0.0
12,4,1000,24.6,0.0
12,5,1000,22.2,0.0
12,6,1000,19.8,0.0
13,1,1000,21.5,0.0
13,2,1000,19.900000000000002,0.0
13,3,1000,23.1,0.0
13,4,1000,22.2,0.0
13,5,1000,21.7,0.0
14,1,1000,22.900000000000002,0.0
14,2,1000,20.5,0.0
14,3,1000,20.599999999999998,0.0
14,4,1000,22.900000000000002,0.0
14,5,1000,19.6,0.0
15,1,1000,21.7,0.0
15,2,1000,22.7,0.0
15,3,1000,17.2,0.0
15,4,1000,21.8,0.0
16,1,1000,20.5,0.0
16,2,1000,22.0,0.0
16,3,1000,21.5,0.0
16,4,1000,23.5,0.0
17,1,1000,22.6,10.9
17,2,1000,21.9,9.5
17,3,1000,20.7,13.0
18,1,1000,30.5,12.1
